Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2020-03-30,72.64299011230469,77.27588554721032,71.84643037430754,75.83840788686702,47540200,,
2020-03-31,72.24929809570312,74.61151785885384,71.92883561775803,74.55658462739163,23792300,,
2020-04-01,70.10680389404297,70.84843038250206,68.98978173560997,70.50050831077911,12208300,,
2020-04-02,72.73455047607422,72.93598161152555,69.5849152353549,69.69478866889334,10167900,,
2020-04-03,72.74369812011719,73.23811807093604,71.58090068820579,72.13941172605276,9139400,,
2020-04-06,75.7468490600586,76.10392900327776,72.89020252890006,74.23612246199009,12373800,,
2020-04-07,75.01439666748047,77.34915731334077,74.86789870418235,76.40609239177573,10872100,,
2020-04-08,77.77946472167969,78.18232705950487,74.20866485606946,75.53626921785725,9266400,,
2020-04-09,78.77745819091797,79.19862925390393,75.94827809151786,77.82524261944316,10466800,,
2020-04-13,78.60350799560547,79.18033495802354,76.47017869086133,79.0338370039469,6665800,,
2020-04-14,81.95948791503906,82.32726804125338,79.53214890277597,79.99187230683826,9861300,,
2020-04-15,83.6144790649414,84.4971469910031,81.38022346575298,82.75939341550334,14128000,,
2020-04-16,88.26687622070312,89.17712641757922,83.79836505084434,85.14075628492233,27036500,,
2020-04-17,88.27609252929688,89.87592805690109,86.64866770421139,89.60009120066952,16074800,,
2020-04-20,90.10578155517578,91.94467505630182,87.02563634375407,87.1819406077925,17251400,,
2020-04-21,86.47395324707031,89.15873556445045,86.07859093894223,88.35881451828786,12030300,,
2020-04-22,87.78876495361328,88.24848825622688,85.31545134080945,86.68542481844811,8369000,,
2020-04-23,86.37281799316406,89.60007058861765,85.83034083798886,88.1473502558141,10567500,,
2020-04-24,86.483154296875,86.9612705088413,85.30626364406817,86.88771308933546,9016100,,
2020-04-27,87.30146789550781,88.17494653479989,86.44638211989296,87.78878057544405,6838200,,
2020-04-28,84.09259796142578,87.48535867526812,83.98226182733869,87.23710412727765,7805500,,
2020-04-29,84.84652709960938,85.55450487631508,83.73399760817809,84.67183000915618,7068300,,
2020-04-30,84.67184448242188,86.21651524175533,84.45117923532331,84.45117923532331,7978300,,
2020-05-01,82.61226654052734,84.00063271830714,81.60087679448924,83.66963141744812,6839800,,
2020-05-04,82.59390258789062,82.89732169656679,81.56411971063606,82.55712387640061,5036800,,
2020-05-05,85.5361099243164,86.11536573014469,83.10877163606362,83.62365945029289,6747900,,
2020-05-06,83.7431869506836,85.90388477233256,83.69721182082769,85.64644088070732,4248400,,
2020-05-07,86.41879272460938,86.9244912117681,84.414398652959,84.71781774525424,7255000,,
2020-05-08,86.15214538574219,87.29226424385911,85.41659229950847,87.20031397011151,6167600,,
2020-05-11,88.33123016357422,88.71739603270336,85.6372514797191,85.71080888759717,7239100,,
2020-05-12,86.24411010742188,88.89211428814453,86.17974911390917,88.68983487572683,5384200,,
2020-05-13,84.7362289428711,87.04403559136456,83.52255231107151,85.75680853946268,11622500,,
2020-05-14,84.38680267333984,84.38680267333984,82.14335086157251,83.20991221956696,8189200,,
2020-05-15,82.64905548095703,83.81675660776074,81.63766560962645,82.71341646327386,13609400,,
2020-05-18,82.99845886230469,85.50855169204459,82.76859716420779,84.49716162338272,7646500,,
2020-05-19,81.11357879638672,83.2099158864021,81.01243911091925,83.05361165061446,7693100,,
2020-05-20,82.83294677734375,83.13636586069742,80.93888889002328,82.36403402832956,7488800,,
2020-05-21,83.10879516601562,83.31107458310989,81.2607051455353,82.41921007037007,6148300,,
2020-05-22,84.10179138183594,84.16615237071025,82.48356321393975,83.13636953389964,5184500,,
2020-05-26,82.27210998535156,85.77520035666251,81.98707668220713,85.46258476946414,6243800,,
2020-05-27,83.44898986816406,83.46737571683495,81.06761911301503,82.08820557739003,5420600,,
2020-05-28,84.6810302734375,85.81195267550672,83.86272336239736,84.54311188077236,5316300,,
2020-05-29,87.27388000488281,87.88990761685083,83.43978890882777,85.41660073773129,10138500,,
2020-06-01,85.51773071289062,86.39120218189296,84.62586638348479,85.46255914650101,5451600,,
2020-06-02,85.1591567993164,85.64646243320934,84.36843206758842,85.43498660340325,6394100,,
2020-06-03,84.03742980957031,85.23270631105576,83.26509093361855,85.10398433420075,8056300,,
2020-06-04,81.14116668701172,83.98225346225296,81.13197025638166,83.71562010737232,9113600,,
2020-06-05,82.6214828491211,82.71342611818872,80.28608733773024,81.34345246906234,11874500,,
2020-06-08,85.10397338867188,85.14994852370205,81.74799897609066,81.81235995624047,5426800,,
2020-06-09,82.99845886230469,85.34305098882194,82.97087658090463,84.88332759262815,4857400,,
2020-06-10,84.7362289428711,85.27869924209385,83.33866573858113,83.53174874414294,5829100,,
2020-06-11,80.70902252197266,85.0488116552953,79.93669073459539,84.74539258961667,8168300,,
2020-06-12,81.84913635253906,82.92489424663957,80.53432738403501,82.06061216508803,5590400,,
2020-06-15,82.3364486694336,83.07200176585421,80.0378320903296,80.46996611475141,5666000,,
2020-06-16,82.51115417480469,84.36844064601463,81.95948749571687,83.32027185130106,6143400,,
2020-06-17,83.57769012451172,84.28566085884441,82.84213010211235,83.13635270810805,4359100,,
2020-06-18,83.00762939453125,83.98224044562306,82.35482321740182,83.20990874811335,6022900,,
2020-06-19,83.37541961669922,84.95686892233152,83.31105863401982,84.28566980454256,9473300,,
2020-06-22,83.06281280517578,83.3478460566959,81.97787241649893,83.05362338870417,5072800,,
2020-06-23,83.94548034667969,84.8649269791085,83.47656059999107,83.77078324177546,4156900,,
