Price,Close,High,Low,Open,Volume,News_Sentiment
Ticker,ABBV,ABBV,ABBV,ABBV,ABBV,
Date,,,,,,
2023-03-28,146.7521514892578,147.07672746856454,146.0102736438017,146.33484962310843,3532500,0.4
2023-03-29,146.52029418945312,148.09677553741273,144.9994511955176,147.42908698884193,3959900,
2023-03-30,146.4461212158203,147.01180146126777,145.98244934742544,146.5295787560972,3635800,1.0
2023-03-31,147.79075622558594,147.9762362797816,146.2699131721152,146.91905091137562,4957300,0.0
2023-04-03,148.7644805908203,148.8108506076986,146.32556203447623,146.7521463795569,4389400,0.0
2023-04-04,148.17100524902344,149.97932300006232,147.93916927709168,148.84796232502367,4224400,
2023-04-05,149.11688232421875,149.92366688298856,147.45692903761002,148.37500447183098,5743000,
2023-04-06,149.81239318847656,150.40589265236503,148.949956099462,149.11688534094432,5498300,
2023-04-10,149.56199645996094,150.28532344130358,148.5697460215109,149.9607616241148,3309500,
2023-04-11,149.65472412109375,150.77680202368205,149.4785265619746,149.7567324895237,2875800,
2023-04-12,150.56353759765625,151.6021581094937,149.85876141464416,150.3409699950583,4005000,
2023-04-13,152.2574462890625,152.41654326299457,150.2546751461622,150.67581587484284,3868500,
2023-04-14,151.2279815673828,152.54756825378598,150.61030086987742,152.2106528079025,3473100,
2023-04-17,150.84429931640625,151.7988956482761,150.34828679540803,151.53685183643995,4354100,
2023-04-18,149.3562469482422,150.89108095698978,148.2519216050173,150.67583376438608,4996200,0.0
2023-04-19,150.87237548828125,151.08762268337358,148.35487011329187,148.49524561437045,4826900,1.0
2023-04-20,151.36839294433594,151.39646804547505,150.28277476590412,150.84429106900214,3808100,
2023-04-21,151.99542236328125,152.72540352964293,151.6304317801004,152.1638729646037,4812100,
2023-04-24,153.558349609375,153.82039342922906,151.92056859512866,152.1451837037109,4728900,1.0
2023-04-25,154.32571411132812,155.5423539338582,153.9420163826339,154.2414888255401,5506200,0.0
2023-04-26,151.4245147705078,152.7908837042808,150.20787492131305,152.24807471678423,5192000,1.0
2023-04-27,139.32366943359375,144.00304318261283,137.72333160840583,144.00304318261283,17063000,0.0
2023-04-28,141.42938232421875,141.68207249569102,137.98537022846799,138.48138268486346,7123800,1.0
2023-05-01,143.85330200195312,144.78917667320817,141.14862477323857,141.16733198483746,5601000,1.0
2023-05-02,141.89732360839844,145.07930629481433,141.5042579309612,143.70356928362636,5135600,1.0
2023-05-03,139.67930603027344,141.79437781819354,138.93060337639315,141.38260492485898,6815300,
2023-05-04,137.91050720214844,139.44534125956457,136.96527882177244,139.44534125956457,5694300,1.0
2023-05-05,138.53753662109375,139.80097323223188,137.70460867369843,139.0148275975848,4447700,
2023-05-08,137.99473571777344,138.69664181428328,137.33027261005446,138.64984521845275,3689500,
2023-05-09,137.41448974609375,138.9399701415312,136.8904021767034,137.9572988087667,4201600,1.0
2023-05-10,137.03077697753906,137.55486454425986,135.84221206566608,137.12437016316,4127300,1.0
2023-05-11,137.18984985351562,138.1070172143719,135.87963116702477,137.84495919676104,4300400,
2023-05-12,137.71397399902344,138.13512909211804,136.70324176048248,137.37705849273763,3526200,0.5
2023-05-15,137.18984985351562,139.35171782638187,136.31949335755655,138.2005961032283,4391800,1.0
2023-05-16,134.1014862060547,137.5174376005841,134.0453360060886,136.50669116024832,4685400,
2023-05-17,134.1576385498047,134.3167355287544,131.50911154191775,133.84879819761497,5482000,
2023-05-18,134.24188232421875,134.35418272945296,132.87549884583314,133.46510453394478,4791200,1.0
2023-05-19,135.80477905273438,136.45053488422005,134.5787854736829,134.63493567114867,5609900,0.5
2023-05-22,135.60826110839844,137.25540999662206,134.56008583794124,136.14171663160278,3867300,0.0
2023-05-23,133.380859375,135.53337393023466,133.21239451191028,135.18709059845008,5121900,0.5
2023-05-24,132.0987091064453,133.77393282800705,131.90218341506238,133.44637096861584,4143500,
