Price,Close,High,Low,Open,Volume,News_Sentiment
Ticker,A,A,A,A,A,
Date,,,,,,
2024-03-25,144.5569610595703,147.04967464870415,142.78922803854354,146.5233128738369,1710500,
2024-03-26,143.41488647460938,145.25212918804573,143.38509441437714,144.6066143448247,2021000,
2024-03-27,146.35447692871094,146.46371953116227,143.534050842784,144.64632813782188,1212200,
